Target Word,Cosine Similarity Score
خالد,0.4739583432674408
رفع,0.4296875
يعلم,0.4505208432674408
قلب,0.5078125
كفر,0.625
نصر,0.4088541865348816
إنسان,0.2734375
عزيز,0.4817708432674408
أراد,0.5208333730697632
أيام,0.4661458432674408
دليل,0.4947916865348816
طلب,0.5182291865348816
أخرى,0.4635416865348816
إيمان,0.3619791865348816
شعر,0.3932291865348816
نسخ,0.5052083730697632
بغداد,0.2838541865348816
مسجد,0.5
ربيع,0.6171875
يجب,0.4479166865348816
حرم,0.3828125
سفيان,0.359375
علماء,0.4375
حجر,0.4140625
بقي,0.5833333730697632
كسر,0.4244791865348816
إسناد,0.4088541865348816
سأل,0.5911458730697632
جواب,0.4010416865348816
نساء,0.5260416865348816
ظهر,0.7369791865348816
جامع,0.3723958432674408
أنس,0.5494791865348816
انظر,0.4921875
فقيه,0.4427083432674408
ضرب,0.5833333730697632
قضاء,0.4010416865348816
عقد,0.5416666865348816
صور,0.5
طالب,0.4427083432674408
نسائي,0.484375
هرير,0.75
وجود,0.5078125
كلم,0.3567708432674408
شهر,0.4739583432674408
حاتم,0.4401041865348816
منصور,0.5494791865348816
عرب,0.46875
طبق,0.453125
امرأ,0.5442708730697632
سلطان,0.453125
مطلق,0.40625
يدل,0.4765625
شمس,0.4739583432674408
مصنف,0.5286458730697632
مكان,0.4505208432674408
عربي,0.6223958730697632
فرق,0.4088541865348816
حاج,0.4296875
فصل,0.4635416865348816
عظيم,0.4375
جزء,0.3567708432674408
معين,0.5416666865348816
ترمذي,0.4140625
حاكم,0.46875
وضع,0.5520833730697632
سير,0.5598958730697632
روي,0.5364583730697632
سبيل,0.4557291865348816
منع,0.3125
يعرف,0.3984375
عذاب,0.4739583432674408
حيا,0.734375
بلغ,0.65625
خطاب,0.4947916865348816
حبان,0.3854166865348816
قسم,0.4973958432674408
حقيق,0.5494791865348816
زمان,0.4557291865348816
معرف,0.3125
مقام,0.4036458432674408
ثابت,0.4765625
نصف,0.4869791865348816
دمشق,0.4921875
ضعيف,0.484375
حارث,0.4739583432674408
أحاديث,0.4140625
بعث,0.6588541865348816
كريم,0.7421875
زاد,0.5729166865348816
بحر,0.4973958432674408
يعقوب,0.6302083730697632
مصدر,0.4375
منزل,0.5651041865348816
شاء,0.7239583730697632
ولي,0.4166666865348816
معجم,0.3958333432674408
محل,0.5572916865348816
أخبار,0.6484375
معاوي,0.46875
شهاد,0.3515625
هشام,0.34375
يصح,0.4505208432674408
ورق,0.4375
وقف,0.5625
أبواب,0.5859375
بلاد,0.3697916865348816
واجب,0.4817708432674408
لقد,0.484375
أحكام,0.5833333730697632
وجوب,0.5729166865348816
يذكر,0.6979166865348816
أكل,0.3046875
عائشة,0.6927083730697632
يلزم,0.5182291865348816
حدثني,0.484375
مولى,0.5234375
عهد,0.4635416865348816
معنا,0.5
حمد,0.4869791865348816
علام,0.3489583432674408
يونس,0.6510416865348816
جواز,0.4557291865348816
كفار,0.4817708432674408
وصف,0.4921875
بشر,0.5130208730697632
حرب,0.5052083730697632
يمكن,0.4765625
وصل,0.609375
وليد,0.625
قيم,0.4114583432674408
مشهور,0.4427083432674408
مسعود,0.5911458730697632
أعمال,0.4348958432674408
صفح,0.6692708730697632
منمن,0.3385416865348816
حرف,0.5520833730697632
خاص,0.546875
مرأ,0.5130208730697632
اختلف,0.4817708432674408
سماء,0.4036458432674408
والد,0.4270833432674408
كذب,0.3984375
مسند,0.5052083730697632
دفع,0.4270833432674408
كثر,0.4869791865348816
بلد,0.4947916865348816
أبى,0.4401041865348816
جابر,0.3984375
تقدير,0.40625
حميد,0.40625
كامل,0.3984375
قصد,0.6458333730697632
يريد,0.5520833730697632
كافر,0.4869791865348816
دول,0.5442708730697632
يخرج,0.4192708432674408
شعب,0.4947916865348816
نور,0.5494791865348816
محرم,0.3567708432674408
طلاق,0.6171875
آمن,0.6302083730697632
سابق,0.3880208432674408
شام,0.4609375
ضعف,0.5338541865348816
حنيف,0.4947916865348816
سواء,0.4921875
زكا,0.5833333730697632
بغدادي,0.3359375
قيس,0.5963541865348816
ثبت,0.40625
قليل,0.4296875
كمال,0.4739583432674408
نكاح,0.5546875
كافي,0.5651041865348816
أمور,0.5859375
وفا,0.4401041865348816
يمن,0.6692708730697632
ركع,0.5260416865348816
أنفس,0.4505208432674408
عقل,0.4791666865348816
صغير,0.3098958432674408
كعب,0.5182291865348816
عدي,0.3958333432674408
أنزل,0.5104166865348816
عامر,0.5885416865348816
تقول,0.5911458730697632
بصري,0.6041666865348816
اختلاف,0.4557291865348816
ظلم,0.4557291865348816
يدخل,0.4036458432674408
حماد,0.5677083730697632
عمار,0.4036458432674408
أحسن,0.6067708730697632
نعيم,0.5416666865348816
ميت,0.6197916865348816
بصر,0.6458333730697632
كوفي,0.6041666865348816
أجر,0.5234375
حضر,0.6171875
بقر,0.390625
أصول,0.5026041865348816
دخول,0.3802083432674408
اعتبار,0.3932291865348816
بدل,0.5286458730697632
طعام,0.6223958730697632
سنن,0.5625
بناء,0.5208333730697632
غسل,0.4869791865348816
أنصاري,0.4739583432674408
حفظ,0.6119791865348816
خطيب,0.4348958432674408
طيب,0.4791666865348816
عدد,0.6119791865348816
قرب,0.4427083432674408
ملائك,0.5078125
زبير,0.3046875
نهاي,0.4661458432674408
شأن,0.515625
بدر,0.5416666865348816
أفضل,0.3359375
إشار,0.3776041865348816
ضمير,0.5625
قلوب,0.5052083730697632
روح,0.4270833432674408
سماع,0.5078125
بأس,0.46875
سائر,0.546875
قبض,0.390625
أسماء,0.6432291865348816
سيف,0.546875
لسان,0.4895833432674408
فرض,0.5833333730697632
طاهر,0.4453125
صحاب,0.5494791865348816
أقول,0.5286458730697632
عصر,0.6744791865348816
حرام,0.5026041865348816
لان,0.5677083730697632
ثمن,0.5546875
عرض,0.3984375
صادق,0.4296875
مشرك,0.4114583432674408
أسلم,0.6927083730697632
عطاء,0.6197916865348816
نهي,0.6067708730697632
فهم,0.5494791865348816
رسال,0.5989583730697632
أيوب,0.4947916865348816
ثوب,0.4557291865348816
خروج,0.5338541865348816
شهد,0.5026041865348816
فقه,0.2708333432674408
مؤلف,0.4895833432674408
مقدم,0.4166666865348816
مصري,0.4453125
يحتمل,0.5755208730697632
آثار,0.6536458730697632
أرسل,0.6041666865348816
عاصم,0.5677083730697632
أولاد,0.4739583432674408
طاع,0.4270833432674408
نافع,0.5442708730697632
إله,0.5182291865348816
زهري,0.4088541865348816
سهل,0.5260416865348816
ماج,0.3307291865348816
إجماع,0.7109375
أموال,0.4895833432674408
ثلث,0.359375
قائل,0.4114583432674408
اثن,0.3854166865348816
طبع,0.3333333432674408
يرد,0.4609375
وحد,0.4973958432674408
عمران,0.3984375
دلال,0.3828125
دعاء,0.5859375
سؤال,0.59375
طائف,0.5208333730697632
رمضان,0.3515625
باطل,0.3385416865348816
باقي,0.671875
غاي,0.7057291865348816
زرع,0.5338541865348816
عقب,0.6458333730697632
سبق,0.4114583432674408
أتى,0.5130208730697632
محدث,0.3880208432674408
غالب,0.515625
دعو,0.4140625
صدر,0.5546875
أحب,0.3697916865348816
مبارك,0.5546875
يظهر,0.4036458432674408
آدم,0.484375
عبار,0.4765625
عدل,0.4635416865348816
قتاد,0.6614583730697632
قريب,0.390625
طائر,0.5078125
شاش,0.4375
موقع,0.40625
حائط,0.4557291865348816
سيار,0.3489583432674408
طيار,0.5494791865348816
الله,0.6510416865348816
